N_Size,Run_ID,Fixed_Pct,Success,Duration,Iterations,Energy_Init,Energy_Final,Temp_Init,Temp_Final,Cooling_Rate,Restarts,Accepted,Rejected,Improved,Fixed_Count
4,1,10,True,0.01602625846862793,38,8,0,1.0,0.7422710963951611,0.9921875,0,14,24,4,5
4,2,10,True,0.02503490447998047,3,4,0,1.0,0.9767451286315918,0.9921875,0,1,2,1,7
4,3,10,True,0.01899552345275879,12,8,0,1.0,0.9101752373148525,0.9921875,0,6,6,5,4
4,4,10,True,0.015791654586791992,24,6,0,1.0,0.8284189626211481,0.9921875,0,8,16,4,6
4,5,10,True,0.022419452667236328,11,4,0,1.0,0.917341971466938,0.9921875,0,4,7,2,6
4,6,10,True,0.016109466552734375,61,4,0,1.0,0.6197532741133521,0.9921875,0,24,37,5,6
4,7,10,True,0.01845526695251465,72,4,0,1.0,0.5685256902982322,0.9921875,0,21,51,6,6
4,8,10,True,0.015712738037109375,5,6,0,1.0,0.9615431017882656,0.9921875,0,4,1,3,7
4,9,10,True,0.012166500091552734,13,6,0,1.0,0.9030644932733303,0.9921875,0,8,5,5,6
4,10,10,True,0.0,9,4,0,1.0,0.9318451770422415,0.9921875,0,2,7,2,7
4,1,15,True,0.01503753662109375,14,4,0,1.0,0.8960093019196324,0.9921875,0,8,6,2,8
4,2,15,True,0.016079425811767578,4,2,0,1.0,0.9691143073141575,0.9921875,0,1,3,1,9
4,3,15,True,0.010549545288085938,93,8,0,1.0,0.48219074636201925,0.9921875,0,7,86,5,6
4,4,15,True,0.006394147872924805,2,6,0,1.0,0.98443603515625,0.9921875,0,2,0,2,7
4,5,15,True,0.016174793243408203,9,4,0,1.0,0.9318451770422415,0.9921875,0,2,7,2,7
4,6,15,True,0.01066446304321289,21,8,0,1.0,0.8481424051551228,0.9921875,0,13,8,5,6
4,7,15,True,0.010116100311279297,6,4,0,1.0,0.9540310463055448,0.9921875,0,3,3,1,8
4,8,15,True,0.015833377838134766,9,8,0,1.0,0.9318451770422415,0.9921875,0,4,5,4,7
4,9,15,True,0.0077972412109375,1,2,0,1.0,0.9921875,0.9921875,0,1,0,1,8
4,10,15,True,0.016002178192138672,14,10,0,1.0,0.8960093019196324,0.9921875,0,6,8,5,6
4,1,20,True,0.024814844131469727,8,4,0,1.0,0.9391825406409993,0.9921875,0,4,4,3,8
4,2,20,True,0.005687713623046875,6,6,0,1.0,0.9540310463055448,0.9921875,0,4,2,2,9
4,3,20,True,0.01584172248840332,1,2,0,1.0,0.9921875,0.9921875,0,1,0,1,9
4,4,20,True,0.010122299194335938,4,4,0,1.0,0.9691143073141575,0.9921875,0,4,0,2,6
4,5,20,True,0.01614069938659668,29,8,0,1.0,0.7965605388989562,0.9921875,0,14,15,4,7
4,6,20,True,0.012525558471679688,7,4,0,1.0,0.9465776787562827,0.9921875,0,3,4,2,8
4,7,20,True,0.019392728805541992,17,6,0,1.0,0.8751727208585941,0.9921875,0,9,8,4,8
4,8,20,True,0.009860038757324219,47,6,0,1.0,0.6916817412336875,0.9921875,0,16,31,4,6
4,9,20,True,0.007886409759521484,41,4,0,1.0,0.7250096775280043,0.9921875,0,12,29,2,7
4,10,20,True,0.01611948013305664,9,8,0,1.0,0.9318451770422415,0.9921875,0,5,4,4,8
4,1,25,True,0.017908334732055664,0,0,0,1.0,1.0,0.9921875,0,0,0,0,8
4,2,25,True,0.011560201644897461,79,8,0,1.0,0.5381537282358139,0.9921875,0,30,49,12,5
4,3,25,True,0.017323732376098633,9,2,0,1.0,0.9318451770422415,0.9921875,0,1,8,1,8
4,4,25,True,0.015997886657714844,58,10,0,1.0,0.6345086921309954,0.9921875,0,27,31,4,5
4,5,25,True,0.011696815490722656,13,6,0,1.0,0.9030644932733303,0.9921875,0,8,5,3,8
4,6,25,True,0.012948989868164062,6,2,0,1.0,0.9540310463055448,0.9921875,0,4,2,1,7
4,7,25,True,0.009061098098754883,30,8,0,1.0,0.7903374096888081,0.9921875,0,14,16,3,7
4,8,25,True,0.01376032829284668,47,6,0,1.0,0.6916817412336875,0.9921875,0,12,35,6,8
4,9,25,True,0.01785731315612793,51,8,0,1.0,0.6703186715375353,0.9921875,0,24,27,6,7
4,10,25,True,0.012177467346191406,16,6,0,1.0,0.8820638446448822,0.9921875,0,9,7,6,7
4,1,30,True,0.011708974838256836,1,2,0,1.0,0.9921875,0.9921875,0,1,0,1,10
4,2,30,True,0.009499549865722656,14,8,0,1.0,0.8960093019196324,0.9921875,0,4,10,4,9
4,3,30,True,0.015699386596679688,1,2,0,1.0,0.9921875,0.9921875,0,1,0,1,8
4,4,30,True,0.013739347457885742,26,6,0,1.0,0.8155254790110168,0.9921875,0,8,18,3,8
4,5,30,True,0.0059511661529541016,37,8,0,1.0,0.7481157506974851,0.9921875,0,7,30,4,6
