N_Size,Run_ID,Fixed_Pct,Success,Duration,Iterations,Energy_Init,Energy_Final,Temp_Init,Temp_Final,Cooling_Rate,Restarts,Accepted,Rejected,Improved,Fixed_Count,Holes_Count,Active_Blocks,Steps_To_Best,Time_To_Best,Accept_Rate,Improve_Rate,Iter_Per_Sec
4,7,10,True,7.7699761390686035,0,0,0,1.0,1.0,0.9921875,0,0,0,0,8,8,3,0,0.0,0,0,0.0
4,2,10,True,15.120543241500854,28,4,0,1.0,0.802832669126507,0.9921875,0,8,20,2,7,9,3,28,15.120485544204712,0.2857142857142857,0.07142857142857142,1.8517853196669103
4,2,11,True,0.0007698535919189453,68,6,0,1.0,0.5866446156118231,0.9921875,0,31,37,6,6,10,3,68,0.0007541179656982422,0.45588235294117646,0.08823529411764706,88328.4831217095
4,3,11,True,0.0006184577941894531,44,8,0,1.0,0.7081496707362394,0.9921875,0,22,22,7,6,10,3,44,0.0006046295166015625,0.5,0.1590909090909091,71144.70932922128
4,3,10,True,15.114045143127441,29,8,0,1.0,0.7965605388989562,0.9921875,0,12,17,6,7,9,2,29,15.113947868347168,0.41379310344827586,0.20689655172413793,1.9187450960596533
4,5,11,True,0.0007541179656982422,11,6,0,1.0,0.917341971466938,0.9921875,0,2,9,2,8,8,4,11,0.0007376670837402344,0.18181818181818182,0.18181818181818182,14586.577300031615
4,6,11,True,0.0006384849548339844,0,0,0,1.0,1.0,0.9921875,0,0,0,0,8,8,4,0,0.0,0,0,0.0
4,7,11,True,0.0009200572967529297,45,8,0,1.0,0.7026172514336125,0.9921875,0,19,26,6,6,10,3,45,0.0008940696716308594,0.4222222222222222,0.13333333333333333,48909.997408655094
4,8,11,True,0.0007579326629638672,19,8,0,1.0,0.8615515633989419,0.9921875,0,7,12,5,6,10,4,19,0.0007424354553222656,0.3684210526315789,0.2631578947368421,25068.18999685436
4,4,10,True,15.118818044662476,6,8,0,1.0,0.9540310463055448,0.9921875,0,3,3,3,7,9,3,6,15.118793725967407,0.5,0.5,0.3968564197462665
4,10,11,True,0.0007710456848144531,116,6,0,1.0,0.4026012803897862,0.9921875,0,29,87,5,7,9,3,116,0.0007560253143310547,0.25,0.04310344827586207,150445.04143475572
4,1,12,True,0.0006198883056640625,85,8,0,1.0,0.5134153644220433,0.9921875,0,28,57,9,6,10,3,85,0.000606536865234375,0.32941176470588235,0.10588235294117647,137121.47692307693
4,2,12,True,0.0005619525909423828,21,6,0,1.0,0.8481424051551228,0.9921875,0,5,16,4,6,10,3,21,0.00054931640625,0.23809523809523808,0.19047619047619047,37369.70046669495
4,3,12,True,0.0005886554718017578,2,4,0,1.0,0.98443603515625,0.9921875,0,2,0,2,4,12,4,2,0.0005753040313720703,1.0,1.0,3397.573106520859
4,4,12,True,0.0007021427154541016,14,4,0,1.0,0.8960093019196324,0.9921875,0,4,10,2,6,10,3,14,0.0006635189056396484,0.2857142857142857,0.14285714285714285,19938.966383701187
4,9,11,True,0.0075817108154296875,66,8,0,1.0,0.5959194855343859,0.9921875,0,22,44,7,6,10,4,66,0.007527351379394531,0.3333333333333333,0.10606060606060606,8705.15924528302
4,4,11,True,0.0005745887756347656,12,6,0,1.0,0.9101752373148525,0.9921875,0,10,2,4,6,10,4,12,0.0005612373352050781,0.8333333333333334,0.3333333333333333,20884.501244813277
4,7,12,True,0.0009000301361083984,45,6,0,1.0,0.7026172514336125,0.9921875,0,29,16,4,5,11,3,45,0.0008840560913085938,0.6444444444444445,0.08888888888888889,49998.32582781457
4,8,12,True,0.0006108283996582031,11,4,0,1.0,0.917341971466938,0.9921875,0,8,3,4,10,6,2,11,0.0005974769592285156,0.7272727272727273,0.36363636363636365,18008.33099141296
4,9,12,True,0.001140594482421875,22,6,0,1.0,0.8415162926148485,0.9921875,0,13,9,4,6,10,3,22,0.0011017322540283203,0.5909090909090909,0.18181818181818182,19288.1872909699
4,10,12,True,0.0008606910705566406,41,8,0,1.0,0.7250096775280043,0.9921875,0,16,25,8,7,9,2,41,0.0008442401885986328,0.3902439024390244,0.1951219512195122,47636.139612188366
4,1,13,True,0.0008058547973632812,44,6,0,1.0,0.7081496707362394,0.9921875,0,30,14,4,5,11,4,44,0.0007619857788085938,0.6818181818181818,0.09090909090909091,54600.407100591714
4,2,13,True,0.0006847381591796875,91,8,0,1.0,0.48981419730890463,0.9921875,0,31,60,9,7,9,3,91,0.0006704330444335938,0.34065934065934067,0.0989010989010989,132897.51532033426
4,3,13,True,0.0005922317504882812,10,10,0,1.0,0.9245651365965989,0.9921875,0,6,4,4,5,11,3,10,0.0005793571472167969,0.6,0.4,16885.28180354267
4,4,13,True,0.0006160736083984375,6,4,0,1.0,0.9540310463055448,0.9921875,0,2,4,2,6,10,4,6,0.0006012916564941406,0.3333333333333333,0.3333333333333333,9739.095975232198
4,5,13,True,0.0005750656127929688,12,10,0,1.0,0.9101752373148525,0.9921875,0,6,6,4,6,10,4,12,0.0005619525909423828,0.5,0.3333333333333333,20867.18407960199
4,6,13,True,0.0005643367767333984,2,4,0,1.0,0.98443603515625,0.9921875,0,2,0,2,7,9,3,2,0.0005517005920410156,1.0,1.0,3543.983100971694
4,6,12,True,0.017014026641845703,16,4,0,1.0,0.8820638446448822,0.9921875,0,5,11,2,7,9,4,16,0.01698160171508789,0.3125,0.125,940.4005493119588
4,8,13,True,0.00072479248046875,5,6,0,1.0,0.9615431017882656,0.9921875,0,2,3,2,8,8,4,5,0.0006923675537109375,0.4,0.4,6898.526315789473
4,9,13,True,0.0006248950958251953,10,6,0,1.0,0.9245651365965989,0.9921875,0,5,5,3,6,10,3,10,0.0006115436553955078,0.5,0.3,16002.685997710798
